# Feb 20 16:33 IC289_02_w[1:2,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.903  214.8206   11824.7    -55.04   2460.73     4.514        0.
# Feb 20 16:33 IC289_02_w[1:3,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.887  336.3745    17627.     -52.4   3553.69      4.66        0.
# Feb 20 16:33 IC289_02_w[2:4,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.889  357.0067   18482.4    -51.77    3695.4     4.699        0.
# Feb 20 16:33 IC289_02_w[3:5,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.917  340.2863   18089.4    -53.16   3520.31     4.827        0.
# Feb 20 16:33 IC289_02_w[4:6,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.873  319.1884   18198.8    -57.02   3606.43     4.741        0.
# Feb 20 16:33 IC289_02_w[5:7,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.802  318.2392   17776.5    -55.86    3583.9      4.66        0.
# Feb 20 16:33 IC289_02_w[6:8,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.772  307.0389   18254.3    -59.45   3582.36     4.787        0.
# Feb 20 16:33 IC289_02_w[7:9,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.834  304.2172   18913.2    -62.17   3620.47     4.908        0.
# Feb 20 16:33 IC289_02_w[8:10,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.901  287.7376   19030.4    -66.14   3513.11     5.089        0.
# Feb 20 16:33 IC289_02_w[9:11,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.929  314.3568   18622.1    -59.24   3495.84     5.004        0.
# Feb 20 16:33 IC289_02_w[10:12,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.951  340.9214   18386.5    -53.93   3530.95     4.892        0.
# Feb 20 16:33 IC289_02_w[11:13,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.967   352.804   18601.7    -52.73   3585.41     4.874        0.
# Feb 20 16:33 IC289_02_w[12:14,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.934  393.3292   17835.7    -45.35   3523.21     4.756        0.
# Feb 20 16:33 IC289_02_w[13:15,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.939  390.9894   17793.3    -45.51   3525.82     4.741        0.
# Feb 20 16:33 IC289_02_w[14:16,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.942  366.2333   18119.6    -49.48   3652.88      4.66        0.
# Feb 20 16:33 IC289_02_w[15:17,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.902  330.4643   18793.1    -56.87   3703.56     4.767        0.
# Feb 20 16:33 IC289_02_w[16:18,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5576.926   312.432   18739.4    -59.98   3663.12     4.806        0.
# Feb 20 16:33 IC289_02_w[17:19,*]: ic289
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5577.037  319.7615   18711.5    -58.52   3600.36     4.882        0.
# Feb 20 16:33 IC289_02_w[18:20,*]: ic289
