# Feb 15 17:01 NGC1068_final_skysub[159:161,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4882.494  125.3627   147.231    -1.174   140.517    0.9843        0.
# Feb 15 17:01 NGC1068_final_skysub[160:162,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4882.418  118.2761   172.153    -1.456   164.119    0.9854        0.
# Feb 15 17:01 NGC1068_final_skysub[161:163,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4877.082 -147.9061   17344.6     INDEF   290.126     56.16        0.
# Feb 15 17:01 NGC1068_final_skysub[162:164,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4882.401  127.6863    131.72    -1.032   161.441    0.7665        0.
# Feb 15 17:01 NGC1068_final_skysub[163:165,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
   4881.67 -536712.4 3.1951E10     INDEF   536827.    55914.        0.
# Feb 15 17:01 NGC1068_final_skysub[164:166,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4882.747 -18330.95 12855209.     INDEF   18485.8     653.3        0.
# Feb 15 17:01 NGC1068_final_skysub[165:167,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  5005.659  7585.192 -5.3182E7     7011.  -7512.16     6651.        0.
# Feb 15 17:01 NGC1068_final_skysub[166:168,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4833.382  8800.299 -1.1780E7     1339.  -8598.45     1287.        0.
# Feb 15 17:01 NGC1068_final_skysub[167:169,*]: NGC1068
